customerID,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_bin
7590-vhveg,0.11542288557213931,0.001275098084468036,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,0
5575-gnvde,0.3850746268656716,0.21586660512347106,0,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,2
3668-qpybk,0.35422885572139307,0.010310408492960998,1,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,0
7795-cfocw,0.23930348258706463,0.21024117239787676,0,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,3
9237-hqitu,0.5218905472636816,0.015330025386568198,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,0
9305-cdskc,0.8099502487562189,0.09251096238172168,1,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,0
1452-kiovk,0.7049751243781094,0.22277867528271408,0,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1
6713-okomc,0.11442786069651739,0.032667897530579276,0,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,0
7892-pookp,0.8611940298507462,0.3493249480729287,1,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,2
6388-tabgu,0.3771144278606965,0.4003173321024694,0,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,5
9763-grskd,0.3154228855721393,0.06561850911608587,0,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,1
7469-lkbci,0.006965174129353213,0.035541195476575124,0,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,1
8091-ttvax,0.8169154228855721,0.6533925686591276,0,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,4
0280-xjgex,0.8502487562189055,0.578986845141934,1,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,4
5129-jlpis,0.8681592039800995,0.30778329102238633,0,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,2
3655-snqyz,0.945273631840796,0.9088795291945534,0,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,5
8191-xwszg,0.023880597014925342,0.11587237479806141,0,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,4
9959-wofkt,0.8800995024875623,0.8496942072467113,0,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,5
4190-mfluw,0.36766169154228856,0.05879875375028849,1,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,0
4183-myfrb,0.7144278606965173,0.2127971382414032,0,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1
8779-qrdmv,0.21293532338308457,0.0024059543041772442,1,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,0
1680-vdcww,0.015422885572139305,0.02116893607200554,0,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,0
1066-jksgk,0.018905472636815884,0.00015578121393953342,1,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,0
3638-weabw,0.4144278606965174,0.4022963304869605,0,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,4
6322-hrpfa,0.4114427860696518,0.34058389106854375,0,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,4
6865-jznko,0.3686567164179104,0.17445188091391645,0,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,2
6467-chfzw,0.8069651741293532,0.545851603969536,1,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,3
8665-utdhz,0.11890547263681589,0.0013154858066005077,1,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,0
5248-ygijn,0.7164179104477612,0.7328236787445188,0,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,5
8773-hhuoz,0.4621890547263682,0.12396722824832679,1,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,1
3841-nfecx,0.7771144278606964,0.778692591737826,0,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,5
